nohup: ignoring input
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1789848598.691786  706959 cpu_feature_guard.cc:227] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
Datasets: dataset
Models: velocity_threshold, extension_threshold, random_forest, lstm, gru

=== dataset: 69,277 frames ===
[ 46%] dataset 62/135 · fold09_P009 lstm w15 · 13m36s elapsed, ~16m01s left
[ 47%] dataset 63/135 · fold09_P009 gru w15 · 14m04s elapsed, ~16m04s left
[ 47%] dataset 64/135 · fold10_P010 lstm w15 · 14m30s elapsed, ~16m05s left
[ 48%] dataset 65/135 · fold10_P010 gru w15 · 14m56s elapsed, ~16m05s left
[ 49%] dataset 66/135 · fold11_P011 lstm w15 · 15m26s elapsed, ~16m08s left
[ 50%] dataset 67/135 · fold11_P011 gru w15 · 16m01s elapsed, ~16m15s left
[ 50%] dataset 68/135 · fold12_P013 lstm w15 · 16m31s elapsed, ~16m16s left
[ 51%] dataset 69/135 · fold12_P013 gru w15 · 17m04s elapsed, ~16m20s left
[ 52%] dataset 70/135 · fold13_P014 lstm w15 · 17m34s elapsed, ~16m18s left
[ 53%] dataset 71/135 · fold13_P014 gru w15 · 18m04s elapsed, ~16m17s left
[ 53%] dataset 72/135 · fold14_P015 lstm w15 · 18m34s elapsed, ~16m14s left
[ 54%] dataset 73/135 · fold14_P015 gru w15 · 19m02s elapsed, ~16m09s left
[ 55%] dataset 74/135 · fold15_P016 lstm w15 · 19m37s elapsed, ~16m10s left
[ 56%] dataset 75/135 · fold15_P016 gru w15 · 20m07s elapsed, ~16m05s left
[ 56%] dataset 76/135 · fold01_P001 lstm w30 · 20m41s elapsed, ~16m03s left
[ 57%] dataset 77/135 · fold01_P001 gru w30 · 21m35s elapsed, ~16m15s left
[ 58%] dataset 78/135 · fold02_P002 lstm w30 · 22m28s elapsed, ~16m25s left
